surface	type	source_or_id	target
html	a.href	instruments/8b75c829-479e-4bc4-8354-2fdf29a7d213/index.html	/instruments/8b75c829-479e-4bc4-8354-2fdf29a7d213/hub.datalad.org/datalad/datalad-core
html	a.href	instruments/index.html	/instruments/hub.datalad.org/datalad/datalad-core
html	a.href	projects/a605574d-ee49-4ad4-8348-599b632ed5eb/index.html	/orcid:0000-0003-3456-2493
html	a.href	projects/abcd-j/index.html	/depictions/logo_abcd-j
html	a.href	projects/datalad/index.html	/orcid:0000-0003-3456-2493
html	a.href	projects/sfb1451/index.html	/depictions/logo_sfb1451
html	a.href	projects/studyforrest/index.html	/depictions/141b8e85-5cc0-40f9-bf60-21cd89292177
html	a.href	projects/trr379_q02/index.html	/projects/trr379
graph	person	orcid:0000-0003-3456-2493	/persons/yaroslav-halchenko
graph	organization	xyzrins:organizations/4985786a-5a4b-4b86-8fff-0b7be76a6227	/organizations/4985786a-5a4b-4b86-8fff-0b7be76a6227
graph	organization	xyzrins:organizations/91f492bf-c0f7-4666-8eb0-5eb8d63070b8	/organizations/91f492bf-c0f7-4666-8eb0-5eb8d63070b8
graph	organization	xyzrins:organizations/fzj	/organizations/fzj
graph	organization	xyzrins:organizations/fzj-inm	/organizations/fzj-inm
graph	organization	xyzrins:organizations/fzj-inm7	/organizations/fzj-inm7
graph	organization	xyzrins:organizations/hhu	/organizations/hhu
graph	organization	xyzrins:organizations/ovgu	/organizations/ovgu
graph	organization	xyzrins:organizations/psyinf-group	/organizations/psyinf-group
graph	person	xyzrins:persons/03cd9825-f9e4-43c4-baaf-1f077cdaf897	/persons/03cd9825-f9e4-43c4-baaf-1f077cdaf897
graph	person	xyzrins:persons/0d5d403c-9ae7-4e81-9a73-ce233a56ff27	/persons/0d5d403c-9ae7-4e81-9a73-ce233a56ff27
graph	person	xyzrins:persons/905e4666-3239-4dac-a3bd-8bdc18f70714	/persons/905e4666-3239-4dac-a3bd-8bdc18f70714
graph	person	xyzrins:persons/a61dbb70-d0b0-4bb1-8888-01242d22e4cd	/persons/a61dbb70-d0b0-4bb1-8888-01242d22e4cd
graph	person	xyzrins:persons/cd0bc74d-9849-4891-a852-84e53736f505	/persons/cd0bc74d-9849-4891-a852-84e53736f505
graph	person	xyzrins:persons/f15451c2-7985-4c85-9426-a347aa818753	/persons/f15451c2-7985-4c85-9426-a347aa818753
graph	person	xyzrins:persons/fe4c3a56-8607-4806-abfe-18312f3ebde7	/persons/fe4c3a56-8607-4806-abfe-18312f3ebde7
graph	project	xyzrins:projects/05f030d0-f9e5-4f85-aa5e-ccd4104856a1	/projects/05f030d0-f9e5-4f85-aa5e-ccd4104856a1
graph	project	xyzrins:projects/236dde03-0176-4747-ad0f-c6346034d05e	/projects/236dde03-0176-4747-ad0f-c6346034d05e
graph	project	xyzrins:projects/45e542dd-2d2a-41d0-8399-90f2fde72a21	/projects/45e542dd-2d2a-41d0-8399-90f2fde72a21
graph	project	xyzrins:projects/5340dd43-6ef0-4cf8-a936-67c2a9f3a725	/projects/5340dd43-6ef0-4cf8-a936-67c2a9f3a725
graph	project	xyzrins:projects/64777d99-26f6-441c-9849-ba8018571de8	/projects/64777d99-26f6-441c-9849-ba8018571de8
graph	project	xyzrins:projects/7d475f77-48e7-4d67-b121-274b4582e561	/projects/7d475f77-48e7-4d67-b121-274b4582e561
graph	project	xyzrins:projects/858d0ddb-3c51-4cea-a0e5-a73224b59ae5	/projects/858d0ddb-3c51-4cea-a0e5-a73224b59ae5
graph	project	xyzrins:projects/9c5e518c-c25c-4bc6-a85f-ade51f8308cd	/projects/9c5e518c-c25c-4bc6-a85f-ade51f8308cd
graph	project	xyzrins:projects/a3f0a9e0-c945-4e04-a698-be426a9ac075	/projects/a3f0a9e0-c945-4e04-a698-be426a9ac075
graph	project	xyzrins:projects/trr379	/projects/trr379
